ID	Name	Type	LifeTime	Height	Speed	ZSpeed	ZAcceleration	CollidRangeW	CollidRangeH	DamageRangeW	DamageRangeH	Param1	Param2	AutoExplode	MoveKind	DamageNumLimit
30010	VËt nu«i – Méc linh phong Ên	0	5	1	0			15	15	15	15				0	
30011	VËt nu«i – Háa linh lo¹n 	0	5	1	0			1	1	1	1				0	
30012	VËt nu«i – Háa linh liÖt diÖm 	0	5	1	0			20	20	20	20				0	
30013	VËt nu«i – Thæ linh cho¸ng 	0	5	1	0			1	1	1	1				0	
30014	VËt nu«i – Thæ linh chÊn ®Şa 	0	5	1	0			20	20	20	20				0	
30015	VËt nu«i – håi m¸u tËp thÓ 	0	18	10	0			15	15	15	15			1	0	
30016	VËt nu«i – Xu©n Vò Miªn Miªn 	0	18	10	0			15	15	15	15				0	
30017	VËt nu«i – ThÊt Tinh H¶i §­êng 	0	18	10	0			15	15	15	15			1	0	
30018	VËt nu«i – Di Hoa TiÕp Méc 	0	5	1	0			1	1	1	1				0	
30019	VËt nu«i – LiÖt diÖm träng kİch 	0	5	1	0			15	15	15	15			1	0	
30020	VËt nu«i – M·nh hæ h¹ s¬n 	0	5	60	200			5	11	5	11				1	
30021	VËt nu«i – Hæ gÇm s¬n l©m 	0	5	10	0			15	15	15	15			1	0	
30022	VËt nu«i – §¹i h¶i v« l­îng 	0	10	1	100			15	15	15	15			1	1	
30023	VËt nu«i – V¹n thó triÒu t«ng 	0	10	1	100			15	15	15	15			1	1	
30024	VËt nu«i – Long ®»ng tø h¶i	0	10	1	100			15	15	15	15			1	1	
30025	VËt nu«i – Phông vò cöu thiªn 	0	10	1	100			15	15	15	15			1	1	
30026	Long Ch©u Tù B¹o	0	2	1	0			13	13	13	13			1	0	
30027	Chİ MÖnh Ho¶ Ph¸o	0	2	10	0			13	13	13	13			1	0	
30028	Kh¸ng Cù Chi L·ng	0	2	1	0			5	5	5	5				0	
30029	ThiÕt Gi¸p Träng Kİch	0	2	60	0			1	1	1	1				0	
30030	C«ng kİch bãng n­íc	0	36	75	20			3	7	3	7	9			1	
30031	Thõa Phong Ph¸ L·ng	0	2	15	30			7	7	7	7				1	
30032	ThuyÒn chØ huy t¶n x¹	0	54	90	20			3	6	3	6				1	
30033	§«ng Ph­¬ng BÊt B¹i thÇn tr©m	0	8	90	40			3	3	3	3				1	
30034	§«ng Ph­¬ng BÊt B¹i bŞ lùc	0	36	90	0			3	6	3	6				1	
30035	§«ng Ph­¬ng BÊt B¹i quang trô	0	8	90	20			7	7	7	7				1	
434	Oanh L«i Phï	0	2	10	0			7	7	7	7				0	
437	Ngò L«i Chİnh ph¸p phï	0	130	1	0			13	13	13	13				0	
433	Cuång L«i Phï	0	9	10	0			5	5	5	5				0	
487	Lam Quang CÇu	0	90	1	10			5	5	5	5				1	
506	Nhu V©n ThiÓm Quang	0	180	6	10			5	5	13	13				1	
507	TuyÕt CÇu b¾n ra	0	90	1	0			7	7	7	7				0	
508	Kı hiÖu §¹i Kim §ao	0	54	10	0			23	23	23	23	9		1	0	
509	Th«n V©n Thó-SÊm toµn mµn h×nh	0	54	1	0			7	7	7	7				0	
510	Hoang Háa Chi CÇu-HiÖu øng ®¹n	0	18	10	0			13	13	13	13				0	
511	Th¸i NhÊt L­u Quang TuyÖt ¶nh	0	90	75	15			3	7	3	7				1	
512	Hoang Háa Chi CÇu 	0	36	1	0			13	13	13	13				0	
513	§¹i Kim §ao	0	15	1	0			7	7	7	7				0	
514	Phi ®ao	0	36	75	35			3	7	3	7				1	
515	L­u Quang TuyÖt ¶nh	0	27	60	100			3	7	3	7				1	
516	C¬ Giíi Thó Næ	0	30	60	0			15	15	15	15				0	
518	Hoang Háa LiÖt DiÖm-HiÖu øng ®¹n	0	18	10	0			13	13	13	13				0	
517	Duy tr× ch¸y lín	0	18	10	0			23	23	23	23	9		1	0	
519	Hoµnh T¶o Thiªn Qu©n	0	15	75	100			3	7	3	7				1	
525	NhËm HiÖp CËn ChiÕn C«ng Kİch	0	6	10	0			11	11	11	11				0	
526	NhËm HiÖp Linh Tª §ao	0	126	15	16			3	3	3	3	9			3	
527	NhËm HiÖpPhi ®ao	0	54	15	30			3	3	3	3				1	
528	S¸t th­¬ng Yªn Vò Mª Li	0	5	1	0			17	17	17	17				0	
529	Tµn V©n	0	5	1	0			7	7	7	7				0	
530	KiÕm T«n tÊn c«ng th­êng	0	5	1	0			7	7	7	7				0	
531	§o¹n Thñy-Ngang	0	90	1	0			13	3	13	3				0	
532	§o¹n Thñy-Däc	0	90	1	0			3	13	3	13				0	
533	B¹o L«i-Nhá	0	5	1	0			9	9	9	9				0	
534	B¹o L«i-Lín	0	30	1	40			11	11	11	11				1	
535	Håi Phong	0	10	1	0			15	15	15	15				0	
536	Linh KiÕm Thñ Hé	0	18	1	0			15	15	15	15				0	
537	Thiªn Phong	4	108	1	0			15	15	15	15	18			0	
538	Thiªn Phong_§¹n	0	3	1	0			15	15	15	15				0	
539	Thiªn ¶nh tuyÖt s¸t	0	2	1	0			11	11	11	11				0	
540	V¹n KiÕm Hãa Vò-Nhá	0	9	10	0			9	9	9	9				0	
541	V¹n KiÕm Hãa Vò-Lín	0	9	10	0			17	17	17	17				0	
545	D­¬ng Viªm	0	18	75	20			3	7	3	7				1	
546	Háa QuyÒn	0	90	10	15			3	7	3	7	9			3	
547	BÊt Tri Háa	0	180	6	10			13	13	13	13				1	
548	L«i Hèng	0	36	75	15			3	7	3	7	9			3	
549	B¨ng Hoµn Tiªu Kİ	0	54	10	0			5	5	5	5				0	
550	Th­¬ng Háa	0	108	5	0			5	5	5	5				0	
551	S¸t th­¬ng B¨ng Ho¹i	0	15	1	0			5	5	5	5				0	
552	Tö Quang	0	18	75	18			3	7	3	7				1	
553	§éc V©n	0	270	6	0			11	11	11	11				0	
554	Kinh Th¸n cña KiÕm ThÇn	0	36	75	60			3	7	3	7				0	
555	S¸t th­¬ng Yªn Vò Mª Li	0	15	1	0			5	5	5	5				0	
556	§¹i Viªm Giíi	0	54	1	1			5	50	5	50				1	
557	Yªn Vò Mª Li Tiªu Kİ	0	36	10	0			5	5	5	5				0	
558	§éc DiÔm	0	18	10	0			11	11	11	11				0	
559	S¸t th­¬ng Yªn Vò Mª Li	0	30	10	0			9	9	9	9				0	
560	Lôc §¹o Lu©n Håi	0	54	6	100			3	3	3	3				0	
561	Lôc §¹o Lu©n Håi (Tö)	0	54	6	100			7	7	7	7				0	
562	HuyÕt Tr× §Şa Ngôc	0	18	75	0			11	11	11	11				0	
563	Thiªn Ma Hµng Phôc	0	54	50	50			3	7	3	7				1	
564	B¨ng Hoµn Tiªu Kİ	0	36	10	0			5	5	5	5				0	
565	Tuyªn C¸o Tö Vong	0	108	75	35			33	33	33	33				1	
566	Kim ¤ Tiªu Kİ	0	54	10	0			1	1	1	1				0	
567	Kim ¤ S¸t Th­¬ng	0	54	10	0			23	23	23	23				0	
571	Xö QuyÕt	0	36	75	100			33	33	33	33				1	
572	B¸ Khİ	0	180	6	10			13	13	13	13				1	
573	Kim Bµi §Ö NhÊt Bang Háa B¹o b¾t ®Çu	0	54	1	0			3	3	3	3	3			0	
574	Yªn Háa Kim Bµi §Ö NhÊt Bang	0	54	1	0			3	3	3	3	3			0	
580	Xuyªn T©m Ch©m	0	12	60	120			4	4	4	4				1	
581	Phi Hoµng Ch©m	0	12	60	120			5	5	5	5				1	
582	SËu Vò	0	12	60	0			15	15	15	15				0	
583	o S¸t TrËn	0	12	60	120			5	5	5	5				1	
584	DÉn §éc Sa	0	12	60	0			11	11	11	11				0	
585	DiÔm Phong 1	0	18	10	0			12	12	12	12				0	
586	DiÔm Phong 2	0	18	10	0			13	13	13	13				0	
587	DiÔm Phong 3	0	18	10	0			14	14	14	14				0	
588	DiÔm Phong 4	0	18	10	0			15	15	15	15				0	
589	DiÔm Phong 5	0	18	10	0			16	16	16	16				0	
590	DiÔm Phong 6	0	18	10	0			17	17	17	17				0	
591	PhÇn Th©n QuyÕt	0	16	10	0			15	15	15	15				0	
592	Ch©n D­¬ng KiÕm Khİ	0	12	60	80			4	4	4	4				1	
593	HuyÒn ¢m KiÕm Khİ	0	12	60	80			4	4	4	4				1	
594	T¶  Thiªn	0	18	60	40			5	8	5	8				1	
595	Ngù Long Ch­ëng ph¸p	0	2	10	0			5	5	5	5				0	
596	C«n T¶o Lôc Hîp	0	18	60	0			11	11	11	11				0	
597	L¹c L«i	0	27	10	0			11	11	11	11				0	
598	Toµn Phong	0	20	10	0			11	11	11	11				0	
602	§¶ng Ma Cang Khİ	0	18	10	0			15	15	15	15				0	
621	ƒm H­¬ng S¬ nh	0	16	10	0			30	30	30	30				0	
635	NPC Dông DiÔm Phong	0	108	10	0			12	12	12	12				0	
638	Ngo¹i quan Dung NhËt Thæ Tøc	0	27	60	20			4	4	4	4				1	
639	S¸t Th­¬ng Dung NhËt Thæ Tøc	0	12	60	60			5	5	5	5				1	
642	Viªn Th¹ch C«ng Kİch TiÒn TÊu	0	18	60	0			11	11	11	11				0	
680	Kim Tö §¹n	0	36	75	35			3	7	3	7				1	
681	Méc Tö §¹n	0	36	75	35			3	7	3	7				1	
682	Thñy Tö §¹n	0	36	75	35			3	7	3	7				1	
683	Háa Tö §¹n	0	36	75	35			3	7	3	7				1	
684	Thæ Tö §¹n	0	36	75	35			3	7	3	7				1	
542	Ng« B¹ng Tö B¹o L«i	0	50	10	0			5	5	5	5				0	
543	Ng« B¹ng Tö L¹c Tinh	0	36	200	0	-60		13	13	13	13				0	
544	Ng« B¹ng Tö Tróc T­êng	4	180	1	0			3	3	3	3	18			0	
520	Kı hiÖu §¹i Kim §ao	0	54	10	0			23	23	23	23	9		1	0	
611	D­¬ng Gia TÊn Ph¸t ThØ	0	12	60	80			4	8	4	8				1	
607	Trõng Giang LuyÖn	0	12	40	60			5	5	5	5				1	
663	HËu Ph­¬ng Thñy	0	12	40	60			3	8	3	8				1	
666	ThÊu Minh Béc	0	12	60	0			11	11	11	11				0	
667	Phi Th¹ch	0	8	20	0			7	7	7	7				0	
669	Næ	0	18	10	150			6	6	6	6				0	
670	TiÔn Vò TiÔn	0	12	10	0			3	3	3	3				0	
671	Ph¹m vi TiÔn Vò	0	12	10	0			9	9	9	9				0	
672	Ná Xa TiÔn	0	12	10	60			5	5	5	5				0	
651	Sãng Xung Kİch	0	30	60	50			10	10	10	10				1	
673	Phi Th¹ch X	0	8	20	0			7	7	7	7				0	
674	Truy Kİch TiÔn	0	9	80	120			3	3	1	1	9			3	
675	Ph¸o	0	18	90	10	-5		7	7	7	7				1	
676	Phong ph¸o	0	18	90	10	-5		7	7	7	7				1	
